Title,Author,Date,Description,Link,Tags
Web Developer,Hiring Manager,"Dec 04, 2024","We are seeking a talented Web Developer with a strong eye for design and aesthetic detail, as well as the technical expertise to create robust backend systems. The ideal candidate will be responsible for developing and deploying websites, landing pages,…",/jobseekers/job/Web-Developer-1274078,"Web Programming,Wordpress,Web Development"
Front-End Developer (ReactJS Focus),Rich Marlatt,"Dec 04, 2024","We are seeking a skilled Front-End Developer with a strong understanding of back-end integrations to join our team. This role is primarily focused on front-end development using ReactJS, but familiarity with the back-end (built with FastAPI) is essential for effective…",/jobseekers/job/Front-End-Developer-ReactJS-Focus-1274076,"React JS,Redux,Typescript"
Shopify Developer,Stephen Wise,"Dec 04, 2024",We're looking to hire a shopify developer initially on a contract basis with the potential to increase to a full time position.,/jobseekers/job/Shopify-Developer-1245137,"Shopify,Shopify,Shopify"
full stack developer/ SQL Developer,Miriam Lopez,"Dec 04, 2024",Job Description: Call Center Set up,/jobseekers/job/full-stack-developer-SQL-Developer-1267036,"Mssql,SQL Server"
Software Developer,Sludge AI,"Dec 03, 2024",Job Opportunity: Senior Backend Python Software Developer,/jobseekers/job/Software-Developer-1274064,"Python,Software,AWS"
.NET Developer,Graham Green,"Dec 03, 2024",Job Title: .NET Developer,/jobseekers/job/NET-Developer-1274007,"Web Programming,SQL Server,ASP.NET"
"WordPress Developer (Oxygen Pagebuilder / Webdesign, Conversion)",Michael Fricke,"Dec 03, 2024",About the Role,/jobseekers/job/WordPress-Developer-Oxygen-Pagebuilder-Webdesign-Conversion-1273974,"Web Design & Page Layout,PHP,Wordpress"
Ruby on Rails developer,Hugh Samuel,"Dec 03, 2024",We have a Ruby on Rails web app for orders and inventory management. We are looking for an engineer to help on a broad range of features across the front end and back end. In this role you will implement…,/jobseekers/job/Ruby-on-Rails-developer-797132,
Odoo Developer & Emipro Inegration,Shihui Luo,"Dec 03, 2024",Role Overview:,/jobseekers/job/Odoo-Developer-Emipro-Inegration-1273915,
Sr. ASP Net Developer,Bill Ren,"Dec 03, 2024",We are looking for a Sr. Dot NET Developer. Primary responsibility of this job is to lead the enhancement  of web-based SaaS application built with .NET and SQL Server technology stack.,/jobseekers/job/Sr-ASP-Net-Developer-1273762,"C#,.Net,SQL Server"
